ImageId,Label
1,2
2,0
3,5
4,5
5,2
6,7
7,0
8,3
9,0
10,3
11,3
12,5
13,9
14,0
15,4
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,9
27,2
28,4
29,5
30,7
31,5
32,5
33,9
34,3
35,6
36,3
37,9
38,5
39,9
40,6
41,5
42,7
43,5
44,4
45,3
46,7
47,1
48,8
49,6
50,1
51,6
52,3
53,1
54,8
55,9
56,2
57,1
58,8
59,1
60,0
61,5
62,1
63,5
64,6
65,0
66,0
67,1
68,5
69,0
70,1
71,6
72,9
73,8
74,8
75,2
76,0
77,3
78,9
79,2
80,3
81,8
82,9
83,1
84,0
85,9
86,1
87,4
88,8
89,6
90,7
91,1
92,0
93,6
94,6
95,1
96,9
97,8
98,5
99,7
100,9
101,0
102,3
103,1
104,0
105,5
106,9
107,0
108,3
109,0
110,4
111,4
112,0
113,6
114,1
115,1
116,5
117,1
118,1
119,3
120,8
121,3
122,7
123,2
124,8
125,1
126,3
127,3
128,7
129,1
130,5
131,3
132,8
133,1
134,0
135,0
136,0
137,3
138,1
139,8
140,6
141,4
142,3
143,9
144,8
145,5
146,8
147,4
148,9
149,1
150,8
151,5
152,8
153,8
154,6
155,8
156,1
157,7
158,3
159,7
160,8
161,3
162,0
163,5
164,3
165,1
166,1
167,5
168,4
169,3
170,0
171,2
172,7
173,9
174,6
175,1
176,3
177,5
178,4
179,1
180,2
181,4
182,8
183,3
184,2
185,5
186,9
187,2
188,1
189,1
190,0
191,6
192,1
193,9
194,4
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,7
216,2
217,1
218,6
219,3
220,9
221,2
222,8
223,1
224,8
225,2
226,8
227,1
228,4
229,1
230,0
231,0
232,9
233,7
234,1
235,5
236,8
237,2
238,3
239,3
240,6
241,3
242,6
243,2
244,3
245,9
246,3
247,9
248,4
249,8
250,6
251,4
252,4
253,1
254,3
255,8
256,7
257,8
258,1
259,9
260,3
261,4
262,3
263,8
264,8
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,5
276,4
277,1
278,9
279,8
280,9
281,0
282,5
283,1
284,0
285,3
286,3
287,7
288,9
289,4
290,5
291,8
292,7
293,7
294,5
295,5
296,6
297,3
298,8
299,3
300,3
301,6
302,5
303,8
304,2
305,6
306,8
307,7
308,1
309,9
310,3
311,8
312,8
313,9
314,8
315,0
316,8
317,9
318,5
319,1
320,8
321,9
322,1
323,1
324,9
325,8
326,5
327,9
328,1
329,3
330,8
331,6
332,3
333,1
334,3
335,8
336,5
337,0
338,8
339,6
340,8
341,6
342,2
343,1
344,8
345,6
346,0
347,3
348,8
349,3
350,8
351,4
352,7
353,7
354,1
355,9
356,8
357,3
358,4
359,2
360,1
361,3
362,6
363,3
364,3
365,5
366,2
367,8
368,1
369,1
370,4
371,5
372,3
373,4
374,9
375,7
376,6
377,4
378,8
379,3
380,5
381,4
382,5
383,3
384,4
385,2
386,6
387,1
388,1
389,8
390,5
391,1
392,7
393,4
394,4
395,6
396,1
397,1
398,1
399,5
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,4
408,3
409,8
410,3
411,3
412,8
413,9
414,1
415,1
416,9
417,1
418,1
419,3
420,8
421,4
422,6
423,6
424,8
425,3
426,1
427,9
428,7
429,9
430,7
431,4
432,8
433,3
434,2
435,6
436,1
437,3
438,4
439,8
440,0
441,1
442,4
443,7
444,9
445,9
446,4
447,1
448,1
449,3
450,9
451,9
452,7
453,4
454,5
455,3
456,4
457,1
458,3
459,1
460,6
461,1
462,7
463,8
464,0
465,5
466,1
467,7
468,9
469,4
470,1
471,1
472,5
473,9
474,8
475,6
476,0
477,1
478,8
479,1
480,6
481,9
482,3
483,1
484,2
485,5
486,9
487,9
488,5
489,3
490,7
491,4
492,9
493,3
494,5
495,4
496,7
497,3
498,3
499,2
500,0
501,6
502,8
503,5
504,4
505,2
506,8
507,3
508,3
509,6
510,6
511,7
512,8
513,3
514,7
515,8
516,8
517,1
518,7
519,5
520,2
521,2
522,4
523,0
524,7
525,5
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,8
534,8
535,9
536,8
537,6
538,3
539,5
540,8
541,0
542,3
543,9
544,1
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,3
556,0
557,7
558,8
559,6
560,2
561,8
562,8
563,1
564,1
565,6
566,3
567,5
568,1
569,1
570,4
571,4
572,8
573,3
574,6
575,0
576,4
577,1
578,2
579,5
580,2
581,3
582,1
583,2
584,6
585,5
586,1
587,7
588,3
589,8
590,8
591,8
592,8
593,5
594,8
595,2
596,6
597,4
598,6
599,0
600,3
601,1
602,1
603,5
604,1
605,1
606,2
607,8
608,5
609,6
610,1
611,5
612,5
613,3
614,3
615,2
616,4
617,7
618,8
619,0
620,4
621,8
622,3
623,9
624,9
625,3
626,3
627,1
628,8
629,6
630,7
631,6
632,1
633,8
634,6
635,1
636,9
637,5
638,7
639,8
640,3
641,0
642,4
643,9
644,6
645,5
646,5
647,5
648,9
649,1
650,8
651,9
652,9
653,8
654,0
655,1
656,2
657,5
658,3
659,8
660,7
661,2
662,3
663,5
664,0
665,4
666,2
667,1
668,3
669,3
670,6
671,3
672,9
673,5
674,3
675,8
676,7
677,7
678,1
679,6
680,0
681,6
682,9
683,8
684,1
685,1
686,3
687,4
688,6
689,5
690,9
691,3
692,6
693,0
694,1
695,9
696,4
697,3
698,9
699,8
700,8
701,9
702,0
703,4
704,0
705,4
706,0
707,5
708,4
709,6
710,8
711,3
712,8
713,1
714,8
715,8
716,6
717,2
718,3
719,7
720,3
721,9
722,2
723,1
724,0
725,1
726,6
727,6
728,9
729,7
730,5
731,7
732,1
733,3
734,2
735,9
736,5
737,1
738,3
739,1
740,8
741,9
742,5
743,3
744,9
745,8
746,5
747,8
748,5
749,3
750,6
751,9
752,9
753,4
754,5
755,1
756,5
757,7
758,1
759,1
760,4
761,9
762,0
763,5
764,0
765,4
766,0
767,0
768,3
769,1
770,8
771,4
772,8
773,0
774,1
775,8
776,8
777,4
778,6
779,3
780,1
781,1
782,6
783,5
784,8
785,3
786,8
787,3
788,5
789,3
790,3
791,8
792,0
793,5
794,0
795,9
796,8
797,1
798,6
799,9
800,7
801,1
802,1
803,8
804,3
805,1
806,9
807,9
808,6
809,8
810,1
811,8
812,9
813,7
814,8
815,4
816,9
817,0
818,9
819,7
820,5
821,3
822,0
823,8
824,0
825,1
826,9
827,6
828,4
829,5
830,2
831,1
832,5
833,3
834,4
835,3
836,9
837,6
838,1
839,3
840,1
841,2
842,4
843,0
844,8
845,5
846,6
847,7
848,2
849,8
850,8
851,9
852,9
853,5
854,7
855,2
856,3
857,1
858,3
859,5
860,3
861,0
862,9
863,1
864,5
865,2
866,3
867,6
868,5
869,2
870,8
871,4
872,1
873,9
874,2
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,2
886,7
887,1
888,8
889,4
890,9
891,1
892,5
893,4
894,0
895,5
896,2
897,9
898,9
899,1
900,1
901,3
902,3
903,3
904,7
905,9
906,5
907,9
908,3
909,2
910,7
911,2
912,8
913,4
914,5
915,1
916,6
917,5
918,6
919,1
920,3
921,5
922,3
923,8
924,9
925,4
926,5
927,5
928,6
929,6
930,3
931,8
932,2
933,1
934,4
935,1
936,3
937,5
938,4
939,9
940,8
941,6
942,2
943,6
944,1
945,0
946,9
947,2
948,2
949,9
950,2
951,6
952,9
953,1
954,2
955,3
956,1
957,3
958,3
959,6
960,2
961,5
962,5
963,9
964,0
965,4
966,3
967,1
968,8
969,5
970,3
971,8
972,1
973,4
974,6
975,1
976,0
977,8
978,0
979,7
980,5
981,3
982,8
983,7
984,9
985,7
986,9
987,0
988,3
989,8
990,2
991,1
992,9
993,3
994,6
995,8
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,5
1005,1
1006,3
1007,5
1008,4
1009,1
1010,4
1011,2
1012,6
1013,3
1014,5
1015,3
1016,7
1017,2
1018,3
1019,5
1020,8
1021,1
1022,5
1023,5
1024,6
1025,2
1026,6
1027,1
1028,8
1029,5
1030,1
1031,9
1032,1
1033,1
1034,9
1035,5
1036,1
1037,8
1038,1
1039,8
1040,0
1041,1
1042,6
1043,1
1044,9
1045,6
1046,1
1047,4
1048,7
1049,6
1050,6
1051,2
1052,6
1053,3
1054,8
1055,5
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,5
1066,4
1067,5
1068,0
1069,8
1070,9
1071,8
1072,8
1073,5
1074,4
1075,5
1076,2
1077,6
1078,1
1079,2
1080,9
1081,8
1082,0
1083,2
1084,3
1085,7
1086,7
1087,4
1088,6
1089,3
1090,1
1091,3
1092,1
1093,8
1094,1
1095,7
1096,6
1097,8
1098,3
1099,3
1100,3
1101,4
1102,2
1103,9
1104,1
1105,3
1106,2
1107,0
1108,6
1109,5
1110,6
1111,7
1112,2
1113,5
1114,1
1115,0
1116,3
1117,2
1118,6
1119,1
1120,9
1121,8
1122,5
1123,4
1124,1
1125,6
1126,8
1127,5
1128,6
1129,1
1130,1
1131,0
1132,8
1133,8
1134,0
1135,3
1136,6
1137,8
1138,1
1139,7
1140,5
1141,0
1142,0
1143,2
1144,1
1145,2
1146,1
1147,9
1148,3
1149,8
1150,3
1151,6
1152,7
1153,5
1154,5
1155,9
1156,9
1157,5
1158,1
1159,8
1160,8
1161,5
1162,1
1163,4
1164,0
1165,6
1166,9
1167,9
1168,2
1169,4
1170,5
1171,1
1172,2
1173,9
1174,1
1175,8
1176,1
1177,2
1178,7
1179,2
1180,3
1181,8
1182,3
1183,4
1184,9
1185,0
1186,7
1187,0
1188,3
1189,3
1190,9
1191,7
1192,3
1193,3
1194,8
1195,8
1196,5
1197,8
1198,2
1199,4
1200,4
1201,4
1202,9
1203,3
1204,8
1205,1
1206,7
1207,5
1208,6
1209,9
1210,6
1211,1
1212,2
1213,8
1214,9
1215,8
1216,4
1217,8
1218,7
